GEO.id,GEO.id2,GEO.display-label,D002,D003,D004
Id,Id2,Geography,Median age -- - Both sexes,Median age -- - Male,Median age -- - Female
1500000US440070001011,440070001011,"Block Group 1, Census Tract 1.01, Providence County, Rhode Island",20.4,20.5,20.3
1500000US440070001012,440070001012,"Block Group 2, Census Tract 1.01, Providence County, Rhode Island",29.0,25.8,33.6
1500000US440070001013,440070001013,"Block Group 3, Census Tract 1.01, Providence County, Rhode Island",28.3,28.7,27.9
1500000US440070001014,440070001014,"Block Group 4, Census Tract 1.01, Providence County, Rhode Island",27.9,27.2,28.8
1500000US440070001021,440070001021,"Block Group 1, Census Tract 1.02, Providence County, Rhode Island",30.1,28.0,32.5
1500000US440070001022,440070001022,"Block Group 2, Census Tract 1.02, Providence County, Rhode Island",39.2,38.5,39.6
1500000US440070001023,440070001023,"Block Group 3, Census Tract 1.02, Providence County, Rhode Island",31.2,29.3,33.4
1500000US440070001024,440070001024,"Block Group 4, Census Tract 1.02, Providence County, Rhode Island",31.0,30.1,31.7
1500000US440070002001,440070002001,"Block Group 1, Census Tract 2, Providence County, Rhode Island",30.0,27.5,31.9
1500000US440070002002,440070002002,"Block Group 2, Census Tract 2, Providence County, Rhode Island",38.0,36.9,38.8
1500000US440070002003,440070002003,"Block Group 3, Census Tract 2, Providence County, Rhode Island",28.5,27.0,29.9
1500000US440070002004,440070002004,"Block Group 4, Census Tract 2, Providence County, Rhode Island",28.0,27.4,28.6
1500000US440070002005,440070002005,"Block Group 5, Census Tract 2, Providence County, Rhode Island",31.0,31.4,30.8
1500000US440070003001,440070003001,"Block Group 1, Census Tract 3, Providence County, Rhode Island",32.1,32.0,32.1
1500000US440070003002,440070003002,"Block Group 2, Census Tract 3, Providence County, Rhode Island",27.0,26.6,28.0
1500000US440070003003,440070003003,"Block Group 3, Census Tract 3, Providence County, Rhode Island",29.1,28.1,30.6
1500000US440070003004,440070003004,"Block Group 4, Census Tract 3, Providence County, Rhode Island",24.6,22.1,26.9
1500000US440070003005,440070003005,"Block Group 5, Census Tract 3, Providence County, Rhode Island",30.7,29.3,32.3
1500000US440070003006,440070003006,"Block Group 6, Census Tract 3, Providence County, Rhode Island",31.1,30.1,34.2
1500000US440070004001,440070004001,"Block Group 1, Census Tract 4, Providence County, Rhode Island",25.9,22.8,29.6
1500000US440070004002,440070004002,"Block Group 2, Census Tract 4, Providence County, Rhode Island",25.4,23.5,27.9
1500000US440070004003,440070004003,"Block Group 3, Census Tract 4, Providence County, Rhode Island",23.9,21.8,26.0
1500000US440070004004,440070004004,"Block Group 4, Census Tract 4, Providence County, Rhode Island",23.8,22.2,26.1
1500000US440070005001,440070005001,"Block Group 1, Census Tract 5, Providence County, Rhode Island",26.8,24.3,29.0
1500000US440070005002,440070005002,"Block Group 2, Census Tract 5, Providence County, Rhode Island",30.0,24.5,34.9
1500000US440070005003,440070005003,"Block Group 3, Census Tract 5, Providence County, Rhode Island",23.2,21.6,25.5
1500000US440070006001,440070006001,"Block Group 1, Census Tract 6, Providence County, Rhode Island",44.8,37.3,55.5
1500000US440070006002,440070006002,"Block Group 2, Census Tract 6, Providence County, Rhode Island",24.3,21.7,28.1
1500000US440070007001,440070007001,"Block Group 1, Census Tract 7, Providence County, Rhode Island",35.9,30.9,39.3
1500000US440070007002,440070007002,"Block Group 2, Census Tract 7, Providence County, Rhode Island",28.1,25.3,30.3
1500000US440070007003,440070007003,"Block Group 3, Census Tract 7, Providence County, Rhode Island",36.6,34.4,40.6
1500000US440070008001,440070008001,"Block Group 1, Census Tract 8, Providence County, Rhode Island",26.4,29.4,24.0
1500000US440070008002,440070008002,"Block Group 2, Census Tract 8, Providence County, Rhode Island",50.8,49.8,51.9
1500000US440070008003,440070008003,"Block Group 3, Census Tract 8, Providence County, Rhode Island",20.1,20.5,20.0
1500000US440070009001,440070009001,"Block Group 1, Census Tract 9, Providence County, Rhode Island",30.1,29.6,30.4
1500000US440070009002,440070009002,"Block Group 2, Census Tract 9, Providence County, Rhode Island",25.2,26.1,24.4
1500000US440070010001,440070010001,"Block Group 1, Census Tract 10, Providence County, Rhode Island",29.9,29.1,31.4
1500000US440070010002,440070010002,"Block Group 2, Census Tract 10, Providence County, Rhode Island",30.0,29.0,30.7
1500000US440070011001,440070011001,"Block Group 1, Census Tract 11, Providence County, Rhode Island",27.2,28.4,25.4
1500000US440070011002,440070011002,"Block Group 2, Census Tract 11, Providence County, Rhode Island",30.5,33.5,28.4
1500000US440070011003,440070011003,"Block Group 3, Census Tract 11, Providence County, Rhode Island",27.9,27.8,27.9
1500000US440070012001,440070012001,"Block Group 1, Census Tract 12, Providence County, Rhode Island",29.6,24.4,34.1
1500000US440070012002,440070012002,"Block Group 2, Census Tract 12, Providence County, Rhode Island",34.9,33.8,35.9
1500000US440070012003,440070012003,"Block Group 3, Census Tract 12, Providence County, Rhode Island",25.6,24.8,26.6
1500000US440070013001,440070013001,"Block Group 1, Census Tract 13, Providence County, Rhode Island",31.9,31.8,32.0
1500000US440070013002,440070013002,"Block Group 2, Census Tract 13, Providence County, Rhode Island",30.5,30.7,30.4
1500000US440070013003,440070013003,"Block Group 3, Census Tract 13, Providence County, Rhode Island",26.0,26.1,25.7
1500000US440070013004,440070013004,"Block Group 4, Census Tract 13, Providence County, Rhode Island",29.3,28.5,30.4
1500000US440070014001,440070014001,"Block Group 1, Census Tract 14, Providence County, Rhode Island",25.1,25.5,24.5
1500000US440070014002,440070014002,"Block Group 2, Census Tract 14, Providence County, Rhode Island",27.0,27.1,26.9
1500000US440070014003,440070014003,"Block Group 3, Census Tract 14, Providence County, Rhode Island",25.6,24.7,26.6
1500000US440070014004,440070014004,"Block Group 4, Census Tract 14, Providence County, Rhode Island",27.3,26.7,27.9
1500000US440070014005,440070014005,"Block Group 5, Census Tract 14, Providence County, Rhode Island",34.3,34.4,34.1
1500000US440070015001,440070015001,"Block Group 1, Census Tract 15, Providence County, Rhode Island",32.4,31.2,33.3
1500000US440070015002,440070015002,"Block Group 2, Census Tract 15, Providence County, Rhode Island",36.0,33.6,37.4
1500000US440070015003,440070015003,"Block Group 3, Census Tract 15, Providence County, Rhode Island",36.2,34.8,37.2
1500000US440070016001,440070016001,"Block Group 1, Census Tract 16, Providence County, Rhode Island",25.4,26.0,25.3
1500000US440070016002,440070016002,"Block Group 2, Census Tract 16, Providence County, Rhode Island",29.7,28.4,31.0
1500000US440070016003,440070016003,"Block Group 3, Census Tract 16, Providence County, Rhode Island",26.4,26.3,26.7
1500000US440070016004,440070016004,"Block Group 4, Census Tract 16, Providence County, Rhode Island",26.6,26.3,27.0
1500000US440070016005,440070016005,"Block Group 5, Census Tract 16, Providence County, Rhode Island",28.9,28.5,29.4
