GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Under .50,Margin of Error; Total: - Under .50,Estimate; Total: - .50 to .99,Margin of Error; Total: - .50 to .99,Estimate; Total: - 1.00 to 1.24,Margin of Error; Total: - 1.00 to 1.24,Estimate; Total: - 1.25 to 1.49,Margin of Error; Total: - 1.25 to 1.49,Estimate; Total: - 1.50 to 1.84,Margin of Error; Total: - 1.50 to 1.84,Estimate; Total: - 1.85 to 1.99,Margin of Error; Total: - 1.85 to 1.99,Estimate; Total: - 2.00 and over,Margin of Error; Total: - 2.00 and over
1400000US44001030100,44001030100,"Census Tract 301, Bristol County, Rhode Island",4684,259,46,44,1,3,216,241,26,25,189,105,31,39,4175,364
1400000US44001030200,44001030200,"Census Tract 302, Bristol County, Rhode Island",3176,177,59,47,15,18,51,40,59,57,330,212,11,18,2651,259
1400000US44001030300,44001030300,"Census Tract 303, Bristol County, Rhode Island",4445,238,41,36,111,128,8,13,390,257,41,36,7,12,3847,286
1400000US44001030400,44001030400,"Census Tract 304, Bristol County, Rhode Island",3827,145,32,34,7,11,10,13,9,14,41,49,0,13,3728,155
1400000US44001030500,44001030500,"Census Tract 305, Bristol County, Rhode Island",3185,224,257,124,251,106,106,83,202,136,167,70,145,82,2057,304
1400000US44001030601,44001030601,"Census Tract 306.01, Bristol County, Rhode Island",3488,259,51,38,123,97,226,190,52,42,290,183,76,72,2670,285
1400000US44001030602,44001030602,"Census Tract 306.02, Bristol County, Rhode Island",3725,276,158,141,290,177,121,127,73,48,176,75,96,66,2811,295
1400000US44001030700,44001030700,"Census Tract 307, Bristol County, Rhode Island",3789,394,485,200,365,151,339,159,27,30,219,113,270,220,2084,364
1400000US44001030800,44001030800,"Census Tract 308, Bristol County, Rhode Island",3635,291,253,159,161,78,51,37,101,115,246,143,66,49,2757,322
1400000US44001030901,44001030901,"Census Tract 309.01, Bristol County, Rhode Island",6306,326,181,122,162,93,70,86,56,59,577,469,53,72,5207,454
1400000US44001030902,44001030902,"Census Tract 309.02, Bristol County, Rhode Island",6726,305,170,113,342,176,55,50,182,145,271,148,101,131,5605,381
1400000US44003020101,44003020101,"Census Tract 201.01, Kent County, Rhode Island",6127,326,56,56,184,122,109,96,98,80,363,173,128,101,5189,364
1400000US44003020102,44003020102,"Census Tract 201.02, Kent County, Rhode Island",4750,410,238,147,523,344,45,50,214,187,352,281,34,37,3344,451
1400000US44003020200,44003020200,"Census Tract 202, Kent County, Rhode Island",5272,423,317,183,218,119,63,52,343,262,293,281,717,349,3321,452
1400000US44003020300,44003020300,"Census Tract 203, Kent County, Rhode Island",5921,595,589,435,1119,469,205,131,602,379,307,183,132,151,2967,535
1400000US44003020400,44003020400,"Census Tract 204, Kent County, Rhode Island",2415,267,133,115,153,80,59,65,10,17,233,164,232,260,1595,250
1400000US44003020500,44003020500,"Census Tract 205, Kent County, Rhode Island",4491,349,270,147,337,253,90,81,188,164,14,21,187,160,3405,347
1400000US44003020601,44003020601,"Census Tract 206.01, Kent County, Rhode Island",6329,364,42,40,632,324,107,105,143,126,336,255,0,18,5069,432
1400000US44003020602,44003020602,"Census Tract 206.02, Kent County, Rhode Island",3516,345,333,279,326,373,68,44,206,130,188,98,158,148,2237,306
1400000US44003020603,44003020603,"Census Tract 206.03, Kent County, Rhode Island",6328,366,241,142,149,108,78,51,401,270,309,242,33,34,5117,451
1400000US44003020604,44003020604,"Census Tract 206.04, Kent County, Rhode Island",4887,378,452,271,241,151,169,111,71,72,658,280,0,13,3296,431
1400000US44003020701,44003020701,"Census Tract 207.01, Kent County, Rhode Island",1821,111,26,30,137,108,53,78,29,29,1,2,13,20,1562,175
1400000US44003020702,44003020702,"Census Tract 207.02, Kent County, Rhode Island",4669,271,127,75,116,98,102,78,220,138,101,79,19,30,3984,308
1400000US44003020703,44003020703,"Census Tract 207.03, Kent County, Rhode Island",6955,484,154,112,319,217,335,262,83,78,155,95,92,99,5817,560
1400000US44003020800,44003020800,"Census Tract 208, Kent County, Rhode Island",6069,21,88,106,248,287,125,110,68,65,41,35,195,211,5304,378
1400000US44003020901,44003020901,"Census Tract 209.01, Kent County, Rhode Island",3647,324,99,74,169,127,222,183,72,47,317,264,68,78,2700,380
1400000US44003020903,44003020903,"Census Tract 209.03, Kent County, Rhode Island",5889,264,197,189,158,157,0,18,10,17,77,76,53,67,5394,365
1400000US44003020904,44003020904,"Census Tract 209.04, Kent County, Rhode Island",3522,195,44,32,52,56,68,56,10,16,97,110,43,40,3208,232
1400000US44003021001,44003021001,"Census Tract 210.01, Kent County, Rhode Island",2649,227,8,14,138,130,134,150,229,250,83,52,416,283,1641,242
1400000US44003021002,44003021002,"Census Tract 210.02, Kent County, Rhode Island",4943,331,259,155,270,116,80,52,150,122,213,193,171,207,3800,354
1400000US44003021100,44003021100,"Census Tract 211, Kent County, Rhode Island",5143,338,80,59,112,112,342,237,0,18,240,171,84,85,4285,475
