GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2013 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2013 inflation-adjusted dollars)
1400000US44007000101,44007000101,"Census Tract 1.01, Providence County, Rhode Island",40694,16480
1400000US44007000102,44007000102,"Census Tract 1.02, Providence County, Rhode Island",35701,5529
1400000US44007000200,44007000200,"Census Tract 2, Providence County, Rhode Island",24886,7054
1400000US44007000300,44007000300,"Census Tract 3, Providence County, Rhode Island",27699,5874
1400000US44007000400,44007000400,"Census Tract 4, Providence County, Rhode Island",27708,12632
1400000US44007000500,44007000500,"Census Tract 5, Providence County, Rhode Island",16071,7995
1400000US44007000600,44007000600,"Census Tract 6, Providence County, Rhode Island",29648,10562
1400000US44007000700,44007000700,"Census Tract 7, Providence County, Rhode Island",16610,4339
1400000US44007000800,44007000800,"Census Tract 8, Providence County, Rhode Island",15000,2674
1400000US44007000900,44007000900,"Census Tract 9, Providence County, Rhode Island",26313,5918
1400000US44007001000,44007001000,"Census Tract 10, Providence County, Rhode Island",27075,7180
1400000US44007001100,44007001100,"Census Tract 11, Providence County, Rhode Island",39604,3139
1400000US44007001200,44007001200,"Census Tract 12, Providence County, Rhode Island",22781,6019
1400000US44007001300,44007001300,"Census Tract 13, Providence County, Rhode Island",35398,9393
1400000US44007001400,44007001400,"Census Tract 14, Providence County, Rhode Island",27288,8091
1400000US44007001500,44007001500,"Census Tract 15, Providence County, Rhode Island",52847,8877
1400000US44007001600,44007001600,"Census Tract 16, Providence County, Rhode Island",37166,6981
1400000US44007001700,44007001700,"Census Tract 17, Providence County, Rhode Island",30650,10602
1400000US44007001800,44007001800,"Census Tract 18, Providence County, Rhode Island",32788,8122
1400000US44007001900,44007001900,"Census Tract 19, Providence County, Rhode Island",23599,6029
1400000US44007002000,44007002000,"Census Tract 20, Providence County, Rhode Island",27083,8039
1400000US44007002101,44007002101,"Census Tract 21.01, Providence County, Rhode Island",50556,9354
1400000US44007002102,44007002102,"Census Tract 21.02, Providence County, Rhode Island",41103,11802
1400000US44007002200,44007002200,"Census Tract 22, Providence County, Rhode Island",34916,7850
1400000US44007002300,44007002300,"Census Tract 23, Providence County, Rhode Island",47847,13160
1400000US44007002400,44007002400,"Census Tract 24, Providence County, Rhode Island",72552,13101
1400000US44007002500,44007002500,"Census Tract 25, Providence County, Rhode Island",37772,9327
1400000US44007002600,44007002600,"Census Tract 26, Providence County, Rhode Island",22623,3913
1400000US44007002700,44007002700,"Census Tract 27, Providence County, Rhode Island",28606,4691
1400000US44007002800,44007002800,"Census Tract 28, Providence County, Rhode Island",35371,6693
1400000US44007002900,44007002900,"Census Tract 29, Providence County, Rhode Island",34778,9276
1400000US44007003100,44007003100,"Census Tract 31, Providence County, Rhode Island",25560,13530
1400000US44007003200,44007003200,"Census Tract 32, Providence County, Rhode Island",70333,10682
1400000US44007003300,44007003300,"Census Tract 33, Providence County, Rhode Island",76691,13692
1400000US44007003400,44007003400,"Census Tract 34, Providence County, Rhode Island",125545,27528
1400000US44007003500,44007003500,"Census Tract 35, Providence County, Rhode Island",45885,16310
1400000US44007003601,44007003601,"Census Tract 36.01, Providence County, Rhode Island",38050,8407
1400000US44007003602,44007003602,"Census Tract 36.02, Providence County, Rhode Island",113661,58796
1400000US44007003700,44007003700,"Census Tract 37, Providence County, Rhode Island",44489,14287
1400000US44007010101,44007010101,"Census Tract 101.01, Providence County, Rhode Island",59468,8536
1400000US44007010102,44007010102,"Census Tract 101.02, Providence County, Rhode Island",66250,11189
1400000US44007010200,44007010200,"Census Tract 102, Providence County, Rhode Island",38933,5281
1400000US44007010300,44007010300,"Census Tract 103, Providence County, Rhode Island",40453,6099
1400000US44007010400,44007010400,"Census Tract 104, Providence County, Rhode Island",42044,9976
1400000US44007010501,44007010501,"Census Tract 105.01, Providence County, Rhode Island",47620,7741
1400000US44007010502,44007010502,"Census Tract 105.02, Providence County, Rhode Island",55372,9697
1400000US44007010600,44007010600,"Census Tract 106, Providence County, Rhode Island",45870,4524
1400000US44007010701,44007010701,"Census Tract 107.01, Providence County, Rhode Island",52531,8072
1400000US44007010702,44007010702,"Census Tract 107.02, Providence County, Rhode Island",58846,8350
1400000US44007010800,44007010800,"Census Tract 108, Providence County, Rhode Island",25510,2367
1400000US44007010900,44007010900,"Census Tract 109, Providence County, Rhode Island",25789,4458
1400000US44007011000,44007011000,"Census Tract 110, Providence County, Rhode Island",31707,5058
1400000US44007011100,44007011100,"Census Tract 111, Providence County, Rhode Island",33750,8097
1400000US44007011200,44007011200,"Census Tract 112, Providence County, Rhode Island",46265,3840
1400000US44007011301,44007011301,"Census Tract 113.01, Providence County, Rhode Island",57025,8829
1400000US44007011302,44007011302,"Census Tract 113.02, Providence County, Rhode Island",81866,8087
1400000US44007011401,44007011401,"Census Tract 114.01, Providence County, Rhode Island",86366,17237
1400000US44007011402,44007011402,"Census Tract 114.02, Providence County, Rhode Island",105469,10815
1400000US44007011403,44007011403,"Census Tract 114.03, Providence County, Rhode Island",73067,7650
1400000US44007011500,44007011500,"Census Tract 115, Providence County, Rhode Island",65330,12609
1400000US44007011600,44007011600,"Census Tract 116, Providence County, Rhode Island",98355,16303
1400000US44007011701,44007011701,"Census Tract 117.01, Providence County, Rhode Island",59531,10208
1400000US44007011702,44007011702,"Census Tract 117.02, Providence County, Rhode Island",77004,15050
1400000US44007011800,44007011800,"Census Tract 118, Providence County, Rhode Island",50859,5657
1400000US44007011901,44007011901,"Census Tract 119.01, Providence County, Rhode Island",52609,24037
1400000US44007011902,44007011902,"Census Tract 119.02, Providence County, Rhode Island",54936,8577
1400000US44007012000,44007012000,"Census Tract 120, Providence County, Rhode Island",60946,10537
1400000US44007012102,44007012102,"Census Tract 121.02, Providence County, Rhode Island",46031,7385
1400000US44007012103,44007012103,"Census Tract 121.03, Providence County, Rhode Island",37227,14919
1400000US44007012104,44007012104,"Census Tract 121.04, Providence County, Rhode Island",43935,9097
1400000US44007012200,44007012200,"Census Tract 122, Providence County, Rhode Island",75911,9804
1400000US44007012300,44007012300,"Census Tract 123, Providence County, Rhode Island",66538,10076
1400000US44007012401,44007012401,"Census Tract 124.01, Providence County, Rhode Island",58641,5163
1400000US44007012402,44007012402,"Census Tract 124.02, Providence County, Rhode Island",56844,7034
1400000US44007012500,44007012500,"Census Tract 125, Providence County, Rhode Island",31683,13487
1400000US44007012601,44007012601,"Census Tract 126.01, Providence County, Rhode Island",85234,13646
1400000US44007012602,44007012602,"Census Tract 126.02, Providence County, Rhode Island",66011,2395
1400000US44007012701,44007012701,"Census Tract 127.01, Providence County, Rhode Island",86094,12783
1400000US44007012702,44007012702,"Census Tract 127.02, Providence County, Rhode Island",72222,8869
1400000US44007012801,44007012801,"Census Tract 128.01, Providence County, Rhode Island",72721,8398
1400000US44007012802,44007012802,"Census Tract 128.02, Providence County, Rhode Island",66438,8281
1400000US44007012803,44007012803,"Census Tract 128.03, Providence County, Rhode Island",91054,7048
1400000US44007012900,44007012900,"Census Tract 129, Providence County, Rhode Island",51327,10098
1400000US44007013001,44007013001,"Census Tract 130.01, Providence County, Rhode Island",80556,10141
1400000US44007013002,44007013002,"Census Tract 130.02, Providence County, Rhode Island",64250,13157
1400000US44007013101,44007013101,"Census Tract 131.01, Providence County, Rhode Island",84958,7630
1400000US44007013102,44007013102,"Census Tract 131.02, Providence County, Rhode Island",78982,5956
1400000US44007013201,44007013201,"Census Tract 132.01, Providence County, Rhode Island",72785,12369
1400000US44007013202,44007013202,"Census Tract 132.02, Providence County, Rhode Island",82500,10156
1400000US44007013300,44007013300,"Census Tract 133, Providence County, Rhode Island",81651,3626
1400000US44007013400,44007013400,"Census Tract 134, Providence County, Rhode Island",63602,6920
1400000US44007013500,44007013500,"Census Tract 135, Providence County, Rhode Island",53238,7208
1400000US44007013600,44007013600,"Census Tract 136, Providence County, Rhode Island",58958,13822
1400000US44007013701,44007013701,"Census Tract 137.01, Providence County, Rhode Island",54205,6703
1400000US44007013702,44007013702,"Census Tract 137.02, Providence County, Rhode Island",60268,14134
1400000US44007013800,44007013800,"Census Tract 138, Providence County, Rhode Island",52295,9907
1400000US44007013900,44007013900,"Census Tract 139, Providence County, Rhode Island",47009,11020
1400000US44007014000,44007014000,"Census Tract 140, Providence County, Rhode Island",61047,7913
1400000US44007014100,44007014100,"Census Tract 141, Providence County, Rhode Island",39802,6373
1400000US44007014200,44007014200,"Census Tract 142, Providence County, Rhode Island",73405,11897
1400000US44007014300,44007014300,"Census Tract 143, Providence County, Rhode Island",66969,14301
1400000US44007014400,44007014400,"Census Tract 144, Providence County, Rhode Island",74250,14432
