Id2,Total:,MOE_Total:,No schooling completed,MOE_No schooling completed,Nursery school,MOE_Nursery school,Kindergarten,MOE_Kindergarten,1st grade,MOE_1st grade,2nd grade,MOE_2nd grade,3rd grade,MOE_3rd grade,4th grade,MOE_4th grade,5th grade,MOE_5th grade,6th grade,MOE_6th grade,7th grade,MOE_7th grade,8th grade,MOE_8th grade,9th grade,MOE_9th grade,10th grade,MOE_10th grade,11th grade,MOE_11th grade,"12th grade, no diploma","MOE_12th grade, no diploma",Regular high school diploma,MOE_Regular high school diploma,GED or alternative credential,MOE_GED or alternative credential,"Some college, less than 1 year","MOE_Some college, less than 1 year","Some college, 1 or more years, no degree","MOE_Some college, 1 or more years, no degree",Associate's degree,MOE_Associate's degree,Bachelor's degree,MOE_Bachelor's degree,Master's degree,MOE_Master's degree,Professional school degree,MOE_Professional school degree,Doctorate degree,MOE_Doctorate degree
44007000101,2197,331,152,142,0,13,0,13,8,13,11,19,0,13,25,28,74,73,0,13,21,35,57,59,71,52,49,60,31,33,69,45,537,171,141,96,104,58,234,92,200,106,283,184,111,61,19,27,0,13
44007000102,3005,308,128,81,0,13,0,13,30,47,0,13,0,13,43,44,53,68,49,38,83,88,125,81,103,69,56,51,128,78,63,56,745,177,121,63,99,47,355,121,175,88,392,154,218,81,30,44,9,15
44007000200,3384,469,212,159,0,18,0,18,10,18,42,51,32,51,20,25,27,43,138,84,144,137,166,112,81,63,33,51,190,139,115,75,678,222,138,114,141,94,471,177,204,130,323,153,165,168,16,29,38,42
44007000300,4543,604,246,112,0,18,0,18,0,18,37,59,62,63,240,175,69,72,281,165,40,50,218,128,33,43,80,55,211,153,23,34,1017,372,227,150,202,127,633,296,381,232,319,163,143,133,45,38,36,56
44007000400,1902,324,101,69,0,13,0,13,0,13,6,11,71,85,0,13,57,32,13,16,28,32,44,37,58,50,74,61,67,49,60,49,494,182,70,51,110,66,387,132,63,40,144,78,55,59,0,13,0,13
44007000500,1539,180,126,144,0,13,0,13,0,13,0,13,13,15,0,13,0,13,53,45,29,33,49,43,57,56,117,69,111,84,114,94,287,128,79,51,22,21,196,92,128,69,113,117,45,42,0,13,0,13
44007000600,1144,211,44,34,4,9,0,13,0,13,10,17,0,13,4,9,0,13,4,9,71,50,61,45,47,43,72,59,30,34,63,38,208,115,41,44,40,36,233,65,53,38,100,57,41,35,7,11,11,15
44007000700,1429,237,83,38,0,13,0,13,0,13,35,48,7,10,0,13,15,19,30,23,13,15,75,59,42,48,113,80,77,44,57,41,283,144,125,76,101,80,183,103,74,55,72,36,40,40,0,13,4,8
44007000800,1788,195,0,13,0,13,0,13,40,49,0,13,0,13,0,13,41,48,49,55,86,71,42,35,22,36,41,48,37,33,31,19,372,128,72,32,62,34,159,78,46,32,299,81,205,83,131,95,53,56
44007000900,1237,212,29,24,0,13,0,13,0,13,0,13,32,30,16,23,12,18,66,102,0,13,77,58,39,39,109,58,1,3,25,38,277,119,76,56,18,22,156,71,90,44,169,76,37,37,0,13,8,40
