Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - English only,Margin of Error; Total: - English only,Estimate; Total: - Spanish:,Margin of Error; Total: - Spanish:,Estimate; Total: - Spanish: - Limited English speaking household,Margin of Error; Total: - Spanish: - Limited English speaking household,Estimate; Total: - Spanish: - Not a limited English speaking household,Margin of Error; Total: - Spanish: - Not a limited English speaking household,Estimate; Total: - Other Indo-European languages:,Margin of Error; Total: - Other Indo-European languages:,Estimate; Total: - Other Indo-European languages: - Limited English speaking household,Margin of Error; Total: - Other Indo-European languages: - Limited English speaking household,Estimate; Total: - Other Indo-European languages: - Not a limited English speaking household,Margin of Error; Total: - Other Indo-European languages: - Not a limited English speaking household,Estimate; Total: - Asian and Pacific Island languages:,Margin of Error; Total: - Asian and Pacific Island languages:,Estimate; Total: - Asian and Pacific Island languages: - Limited English speaking household,Margin of Error; Total: - Asian and Pacific Island languages: - Limited English speaking household,Estimate; Total: - Asian and Pacific Island languages: - Not a limited English speaking household,Margin of Error; Total: - Asian and Pacific Island languages: - Not a limited English speaking household,Estimate; Total: - Other languages:,Margin of Error; Total: - Other languages:,Estimate; Total: - Other languages: - Limited English speaking household,Margin of Error; Total: - Other languages: - Limited English speaking household,Estimate; Total: - Other languages: - Not a limited English speaking household,Margin of Error; Total: - Other languages: - Not a limited English speaking household
1400000US44007000101,44007000101,"Census Tract 1.01, Providence County, Rhode Island",1126,109,362,106,536,128,124,81,412,134,151,66,14,21,137,61,67,47,8,12,59,46,10,15,0,13,10,15
1400000US44007000102,44007000102,"Census Tract 1.02, Providence County, Rhode Island",1737,99,694,128,734,110,115,66,619,107,154,76,68,58,86,52,111,76,27,32,84,66,44,33,0,13,44,33
1400000US44007000200,44007000200,"Census Tract 2, Providence County, Rhode Island",1953,149,479,149,1204,196,552,139,652,197,148,88,0,18,148,88,87,63,25,29,62,59,35,59,0,18,35,59
1400000US44007000300,44007000300,"Census Tract 3, Providence County, Rhode Island",2283,210,694,158,1408,201,617,174,791,181,54,56,42,50,12,26,127,85,0,18,127,85,0,18,0,18,0,18
1400000US44007000400,44007000400,"Census Tract 4, Providence County, Rhode Island",1047,93,317,96,674,107,131,67,543,106,16,17,8,12,8,14,28,26,0,13,28,26,12,13,0,13,12,13
1400000US44007000500,44007000500,"Census Tract 5, Providence County, Rhode Island",1020,98,285,75,659,104,354,113,305,110,41,38,31,32,10,18,35,39,0,13,35,39,0,13,0,13,0,13
1400000US44007000600,44007000600,"Census Tract 6, Providence County, Rhode Island",511,77,221,74,225,68,36,29,189,71,19,21,0,13,19,21,22,21,15,15,7,10,24,21,0,13,24,21
1400000US44007000700,44007000700,"Census Tract 7, Providence County, Rhode Island",936,83,497,100,403,91,225,89,178,85,36,36,0,13,36,36,0,13,0,13,0,13,0,13,0,13,0,13
1400000US44007000800,44007000800,"Census Tract 8, Providence County, Rhode Island",1666,157,1007,138,301,112,128,73,173,92,78,54,0,13,78,54,236,125,111,91,125,81,44,47,34,43,10,19
1400000US44007000900,44007000900,"Census Tract 9, Providence County, Rhode Island",949,102,639,114,206,78,165,73,41,39,56,35,9,14,47,33,28,31,7,11,21,30,20,33,0,13,20,33
1400000US44007001000,44007001000,"Census Tract 10, Providence County, Rhode Island",1123,115,568,141,370,130,190,91,180,99,144,81,8,12,136,80,31,37,16,26,15,26,10,17,0,13,10,17
1400000US44007001100,44007001100,"Census Tract 11, Providence County, Rhode Island",1102,108,696,125,224,91,23,27,201,88,99,60,14,22,85,59,48,47,18,29,30,38,35,35,0,13,35,35
1400000US44007001200,44007001200,"Census Tract 12, Providence County, Rhode Island",1114,77,459,83,605,83,176,71,429,98,42,34,29,33,13,16,0,13,0,13,0,13,8,13,0,13,8,13
1400000US44007001300,44007001300,"Census Tract 13, Providence County, Rhode Island",1491,121,586,132,671,139,199,91,472,118,85,52,18,29,67,43,134,66,18,25,116,61,15,25,0,13,15,25
1400000US44007001400,44007001400,"Census Tract 14, Providence County, Rhode Island",1941,161,517,135,987,189,540,182,447,140,0,18,0,18,0,18,353,108,161,87,192,101,84,69,28,45,56,54
1400000US44007001500,44007001500,"Census Tract 15, Providence County, Rhode Island",958,86,449,67,372,71,141,76,231,84,36,30,0,13,36,30,79,29,16,25,63,31,22,24,0,13,22,24
1400000US44007001600,44007001600,"Census Tract 16, Providence County, Rhode Island",2593,162,486,164,1735,190,833,229,902,213,97,69,17,24,80,63,190,75,56,61,134,68,85,66,49,52,36,42
1400000US44007001700,44007001700,"Census Tract 17, Providence County, Rhode Island",1237,103,483,116,637,100,256,89,381,108,76,36,16,17,60,33,4,7,4,7,0,13,37,39,0,13,37,39
1400000US44007001800,44007001800,"Census Tract 18, Providence County, Rhode Island",2058,153,682,144,1174,160,433,155,741,155,115,68,37,41,78,63,74,47,11,20,63,45,13,23,0,18,13,23
1400000US44007001900,44007001900,"Census Tract 19, Providence County, Rhode Island",1677,189,532,122,1015,172,356,144,659,166,89,66,12,18,77,65,12,21,0,18,12,21,29,34,0,18,29,34
1400000US44007002000,44007002000,"Census Tract 20, Providence County, Rhode Island",2112,89,988,144,924,139,305,125,619,149,167,90,63,63,104,74,33,33,14,23,19,22,0,18,0,18,0,18
1400000US44007002101,44007002101,"Census Tract 21.01, Providence County, Rhode Island",924,95,491,93,253,89,95,66,158,78,172,76,13,20,159,73,0,13,0,13,0,13,8,16,0,13,8,16
1400000US44007002102,44007002102,"Census Tract 21.02, Providence County, Rhode Island",1718,171,760,144,767,161,201,110,566,183,115,95,78,78,37,37,0,18,0,18,0,18,76,91,0,18,76,91
1400000US44007002200,44007002200,"Census Tract 22, Providence County, Rhode Island",1601,111,665,142,764,138,304,108,460,118,50,42,22,33,28,31,108,63,60,50,48,40,14,17,0,18,14,17
1400000US44007002300,44007002300,"Census Tract 23, Providence County, Rhode Island",1736,149,1471,177,55,54,0,13,55,54,166,90,33,23,133,89,22,20,0,13,22,20,22,33,0,13,22,33
1400000US44007002400,44007002400,"Census Tract 24, Providence County, Rhode Island",1998,133,1664,137,77,61,0,18,77,61,108,65,33,37,75,60,35,41,18,29,17,26,114,106,0,18,114,106
1400000US44007002500,44007002500,"Census Tract 25, Providence County, Rhode Island",1235,111,720,115,193,86,105,73,88,58,205,102,73,64,132,68,113,67,35,45,78,60,4,9,0,13,4,9
