Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1400000US44007000101,44007000101,"Census Tract 1.01, Providence County, Rhode Island",1126,109,145,85,124,88,67,47,50,62,92,77,80,79,0,13,57,58,75,65,122,68,66,46,113,59,85,67,49,37,1,10,0,13
1400000US44007000102,44007000102,"Census Tract 1.02, Providence County, Rhode Island",1737,99,238,84,108,65,168,87,132,86,68,63,143,65,116,72,71,63,48,42,132,69,77,53,209,91,95,60,16,17,103,49,13,20
1400000US44007000200,44007000200,"Census Tract 2, Providence County, Rhode Island",1953,149,526,171,118,96,220,123,115,96,154,82,116,96,84,71,50,51,115,87,87,79,254,103,63,43,26,44,25,28,0,18,0,18
1400000US44007000300,44007000300,"Census Tract 3, Providence County, Rhode Island",2283,210,376,157,192,109,298,168,169,114,170,103,181,120,117,89,59,59,61,59,116,75,294,141,118,76,70,74,26,36,36,56,0,18
1400000US44007000400,44007000400,"Census Tract 4, Providence County, Rhode Island",1047,93,140,77,107,57,174,78,55,44,64,38,22,36,31,30,89,55,88,54,73,51,91,44,63,50,35,25,15,24,0,13,0,13
1400000US44007000500,44007000500,"Census Tract 5, Providence County, Rhode Island",1020,98,263,102,223,110,56,55,68,46,51,52,63,68,41,42,21,33,15,24,92,76,44,39,54,40,11,22,0,13,9,15,9,13
1400000US44007000600,44007000600,"Census Tract 6, Providence County, Rhode Island",511,77,54,42,90,58,16,26,56,45,44,31,16,16,18,28,12,20,11,17,61,47,67,45,19,19,0,13,0,13,0,13,47,31
1400000US44007000700,44007000700,"Census Tract 7, Providence County, Rhode Island",936,83,238,85,154,69,124,85,55,47,34,36,155,77,5,8,29,24,53,39,37,29,35,31,9,11,0,13,0,13,8,9,0,13
1400000US44007000800,44007000800,"Census Tract 8, Providence County, Rhode Island",1666,157,698,153,135,74,152,65,111,54,44,39,7,11,36,33,65,30,18,20,64,50,66,38,41,42,55,46,4,6,56,29,114,66
1400000US44007000900,44007000900,"Census Tract 9, Providence County, Rhode Island",949,102,212,79,143,58,56,44,32,27,74,55,70,47,59,36,82,60,17,28,69,48,17,22,82,62,15,22,0,13,9,15,12,22
