Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Under .50,Margin of Error; Total: - Under .50,Estimate; Total: - .50 to .99,Margin of Error; Total: - .50 to .99,Estimate; Total: - 1.00 to 1.24,Margin of Error; Total: - 1.00 to 1.24,Estimate; Total: - 1.25 to 1.49,Margin of Error; Total: - 1.25 to 1.49,Estimate; Total: - 1.50 to 1.84,Margin of Error; Total: - 1.50 to 1.84,Estimate; Total: - 1.85 to 1.99,Margin of Error; Total: - 1.85 to 1.99,Estimate; Total: - 2.00 and over,Margin of Error; Total: - 2.00 and over
1400000US44007000101,44007000101,"Census Tract 1.01, Providence County, Rhode Island",3757,499,360,206,668,303,166,178,330,237,395,361,26,39,1812,446
1400000US44007000102,44007000102,"Census Tract 1.02, Providence County, Rhode Island",4766,546,616,263,726,389,508,293,460,304,287,214,36,43,2133,353
1400000US44007000200,44007000200,"Census Tract 2, Providence County, Rhode Island",5992,761,1145,423,1340,604,359,259,510,363,380,356,30,45,2228,594
1400000US44007000300,44007000300,"Census Tract 3, Providence County, Rhode Island",7147,907,829,367,610,359,1080,562,1287,635,626,367,182,195,2533,750
1400000US44007000400,44007000400,"Census Tract 4, Providence County, Rhode Island",3731,491,517,282,859,269,58,61,386,180,443,304,262,228,1206,350
1400000US44007000500,44007000500,"Census Tract 5, Providence County, Rhode Island",3203,518,614,386,1433,574,86,76,83,79,391,330,0,13,596,172
1400000US44007000600,44007000600,"Census Tract 6, Providence County, Rhode Island",1862,268,368,221,247,199,249,171,117,132,84,77,31,49,766,266
1400000US44007000700,44007000700,"Census Tract 7, Providence County, Rhode Island",2419,357,517,236,978,297,178,142,76,113,76,49,72,77,522,174
1400000US44007000800,44007000800,"Census Tract 8, Providence County, Rhode Island",2351,302,678,245,343,104,117,75,135,67,136,76,7,12,935,194
1400000US44007000900,44007000900,"Census Tract 9, Providence County, Rhode Island",2009,328,384,206,431,146,148,91,200,113,130,90,65,54,651,182
1400000US44007001000,44007001000,"Census Tract 10, Providence County, Rhode Island",2729,585,396,249,742,409,105,88,82,70,76,51,0,13,1328,417
1400000US44007001100,44007001100,"Census Tract 11, Providence County, Rhode Island",2478,305,416,249,333,114,138,78,102,102,351,208,21,34,1117,216
1400000US44007001200,44007001200,"Census Tract 12, Providence County, Rhode Island",2803,289,372,196,890,251,291,201,252,117,139,98,89,133,770,317
1400000US44007001300,44007001300,"Census Tract 13, Providence County, Rhode Island",4692,652,510,325,787,298,776,391,621,390,295,188,186,197,1517,382
1400000US44007001400,44007001400,"Census Tract 14, Providence County, Rhode Island",6645,771,1471,573,1156,429,455,305,742,513,357,311,38,63,2426,544
1400000US44007001500,44007001500,"Census Tract 15, Providence County, Rhode Island",3064,321,157,74,211,203,57,62,187,169,269,141,109,91,2074,425
1400000US44007001600,44007001600,"Census Tract 16, Providence County, Rhode Island",9118,1011,1321,443,1089,459,956,736,605,409,1121,506,167,198,3859,752
1400000US44007001700,44007001700,"Census Tract 17, Providence County, Rhode Island",3496,389,408,187,740,315,280,142,416,285,287,236,48,52,1317,268
1400000US44007001800,44007001800,"Census Tract 18, Providence County, Rhode Island",6547,639,1068,364,694,355,462,314,754,398,315,253,614,473,2640,557
1400000US44007001900,44007001900,"Census Tract 19, Providence County, Rhode Island",5147,779,832,321,1385,362,444,361,382,242,474,346,170,185,1460,454
